file_name,file_description
AC_150_5390-2D-Heliport-Design.pdf,"This advisory circular (AC) provides standards for the planning, design and
construction of heliports serving helicopters with single, tandem (front and rear) or dual
(side by side) rotors."
AC_150_5370-10H-Standard-Specifications-for-Construction-of-Airports.pdf,"The standard specifications contained in this advisory circular (AC) relate to materials and
methods used for construction on airports. Items covered in this AC include general provisions,
earthwork, flexible base courses, rigid base courses, flexible surface courses, rigid pavement,
fencing, drainage, turf, and lighting installation."
AC_150_5370-2G-Operational-Safety-on-Airports-During-Construction.pdf,This AC sets forth guidelines for operational safety on airports during construction.
AC_150_5340-30J-Airport-Visual-Aids.pdf,"This advisory circular (AC) provides guidance and recommendations on the installation
of airport visual aids."
AC_150_5340-18H-Airport-Sign-Systems.pdf,"This Advisory Circular (AC) contains the Federal Aviation Administration (FAA)
standards for the siting, design, and installation of signs on airport runways and
taxiways."
AC_150_5340-1M-Airport-Markings-Chg-1.pdf,"This advisory circular (AC) change contains the Federal Aviation Administration
(FAA) standards for markings used on airport runways, taxiways, and aprons."
AC_150_5325-4B-Runway-Length-Requirements.pdf,"This Advisory Circular (AC) provides guidelines for airport designers and planners to determine
recommended runway lengths for new runways or extensions to existing runways."
AC_150_5320-6G-Pavement-Design.pdf,"This advisory circular (AC) provides guidance to the public on the design and
evaluation of pavements used by aircraft at civil airports. For reporting of pavement
strength, see AC 150/5335-5D, Standardized Method of Reporting Airport Pavement
Strength – PCR."
AC_150_5320-5D-Airport-Drainage-Design.pdf,"This Advisory Circular (AC) provides guidance for engineers, airport
managers, and the public about the design and construction of airport surface storm drainage
systems; and subsurface drainage systems for paved runways, taxiways, and aprons."
AC_150_5300-13B-Airport-Design-Chg1-w-errata.pdf,"This Advisory Circular (AC) contains the Federal Aviation Administration’s (FAA)
standards and recommendations for airport design"
AC_150_5070-6B-Airport-Master-Plans-with-chg-1&2.pdf,"This Change 2 incorporates additional guidance on passenger convenience,
ground access, and access to airport facilities, as identified in Section 131 of Public Law 112-95,
“FAA Modernization and Reform Act of 2012 (49 U.S.C. § 47101(g)(2)).” Additional
provisions of Public Law 112-95 such as Section 132 (b) which amended the definition of
airport planning to include plans for recycling and minimizing the generation of airport solid
waste (49 U.S.C § 47102(b)(5)(C)), and Section 133 providing that master plans address
issues related to solid waste recycling and waste minimization (49 U.S.C. § 47106(a)(6)(A))
have been addressed in separate FAA guidance. These and related considerations will be
incorporated into a future change to this AC."
AC_150_5000-17-Critical-Aircraft-and-Regular-Use-Determination.pdf,"This advisory circular (AC) defines the term Critical Aircraft and provides guidance on
the use of Critical Aircraft in facility planning and design studies, and related FAA
decision making, for federally obligated airports. Specifically, this AC establishes a
common, uniform definition of Critical Aircraft for all deliberations of the FAA Office of
Airports, inclusive of planning and environmental, design and engineering, and financial
decision making regarding airport development. The Critical Aircraft determination is a
key consideration in FAA decision making on project justification. However, this AC
does not establish project justification for Federal Airport Improvement Program (AIP)
funding. Refer to FAA Order 5100.38, Airport Improvement Program Handbook, for
specifics on justifying a project for AIP funding.
This guidance also clarifies when the Critical Aircraft determination includes civilian-
owned aircraft under military or other government agency contracts and when a Critical
Aircraft determination may include military aircraft activity.
The term “Regular Use” is also defined and replaces the term “Substantial Use.”"
